"Name","Id","CPU"
"","0",
"accessoryupdaterd","330",
"accountsd","706","0.3563916"
"acnvmagent","956",
"acumbrellaagent","957",
"adid","928",
"adprivacyd","1387","0.239625"
"AirPlayUIAgent","871","0.1093333"
"AirPlayXPCHelper","388",
"airportd","410",
"akd","825","0.1798666"
"amfid","336",
"AMPDeviceDiscoveryAgent","850","0.1036375"
"amsaccountsd","879","0.2679833"
"amsengagementd","738","0.3346291"
"amsondevicestoraged","1384","0.2136541"
"analyticsagent","3921","0.4273958"
"analyticsd","405",
"aned","979",
"aneuserd","1000",
"apfsd","443",
"APFSUserAgent","726","0.0443166"
"appleaccountd","805","0.2825833"
"AppleCredentialManagerDaemon","376",
"AppleDeviceQueryService","531",
"appleeventsd","547",
"appleh13camerad","528",
"applekeystored","681",
"AppleSpell","1321","5.6966333"
"AppPredictionIntentsHelperService","1398","0.4806041"
"AppSSOAgent","717","0.1906"
"AppSSODaemon","725",
"appstoreagent","1001","1.3133291"
"appstorecomponentsd","1519","0.7348375"
"apsd","362",
"askpermissiond","867","0.1706041"
"aslmanager","390",
"ASPCarryLog","3852",
"AssetCache","1004",
"AssetCacheLocatorService","1040",
"AssetCacheLocatorService","4374","0.1725458"
"AssetCacheTetheratorService","1006",
"assistantd","767","1.3440458"
"assistant_cdmd","782","0.506175"
"assistant_service","1423","0.9826083"
"AUCrashHandlerService","1409","0.0786166"
"audioaccessoryd","694","0.3233458"
"audioanalyticsd","632",
"audioclocksyncd","522",
"AudioComponentRegistrar","428",
"AudioComponentRegistrar","885","0.1279458"
"audiomxd","633",
"AudiovisualThumbnailExtension","1503","0.2610708"
"auditd","367",
"authd","440",
"autofsd","372",
"automountd","849",
"avconferenced","986","0.1661375"
"awdd","775",
"axassetsd","854","2.2122875"
"BackgroundTaskManagementAgent","1391","0.1908541"
"backgroundtaskmanagementd","433",
"BackgroundTaskManagementSubscriber","3328",
"backupd","526",
"backupd-helper","408",
"BatteriesAvocadoWidgetExtension","791","0.6382125"
"betaenrollmentagent","3887","0.075775"
"betaenrollmentd","3889",
"BiomeAgent","812","3.1998666"
"biomed","442",
"BiomeSELFIngestor","4007","0.0719291"
"biometrickitd","509",
"bird","770","0.2584333"
"bluetoothd","384",
"bluetoothuserd","965","0.1122125"
"bootinstalld","555",
"businessservicesd","3908","0.1143291"
"calaccessd","741","0.6020375"
"CalendarIntentsExtension","1393","0.0684375"
"CalendarWidgetExtension","776","0.3035375"
"CallHistoryPluginHelper","913","0.1146916"
"CallHistorySyncHelper","1112","0.1049"
"callservicesd","709","0.6003541"
"cameracaptured","529",
"captiveagent","735",
"CarbonComponentScannerXPC","894","1.5659708"
"CategoriesService","5007","0.0470625"
"cdpd","755","0.1338166"
"cfprefsd","394",
"cfprefsd","548",
"cfprefsd","565",
"cfprefsd","569",
"cfprefsd","684","3.6667291"
"cfprefsd","1348",
"cfprefsd","3295",
"chrome_crashpad_handler","1430","0.0318125"
"chrome_crashpad_handler","2717","0.0225916"
"chronod","737","1.8602083"
"cloudd","707","1.3108666"
"cloudd","915",
"CloudTelemetryService","981","0.2124666"
"CloudTelemetryService","1030",
"CloudTelemetryService","1045","0.0887083"
"CloudTelemetryService","1155",
"CloudTelemetryService","3345","0.0966666"
"CMFSyncAgent","966","0.0293625"
"Code Helper","1432","0.400525"
"Code Helper","1469","1.9497041"
"Code Helper","1470","0.7382166"
"Code Helper","2481","4.8026125"
"Code Helper (GPU)","1431","1.643625"
"Code Helper (Plugin)","2480","5.6137375"
"Code Helper (Renderer)","1435","8.2275958"
"colorsync.displayservices","538",
"colorsync.useragent","1047","0.03475"
"colorsyncd","542",
"com.apple.accessibility.mediaaccessibilityd","1354",
"com.apple.accessibility.mediaaccessibilityd","1364","0.0383875"
"com.apple.AmbientDisplayAgent","796",
"com.apple.appkit.xpc.openAndSavePanelService","3513","0.7506625"
"com.apple.AppleUserHIDDrivers","539",
"com.apple.AppStoreDaemon.StorePrivilegedODRService","1011",
"com.apple.audio.ComponentTagHelper","1401","0.0360708"
"com.apple.audio.Core-Audio-Driver-Service.helper","520",
"com.apple.audio.Core-Audio-Driver-Service.helper","552",
"com.apple.audio.DriverHelper","519",
"com.apple.audio.SandboxHelper","438",
"com.apple.audio.SandboxHelper","620",
"com.apple.audio.SandboxHelper","1408","0.0332375"
"com.apple.audio.SandboxHelper","1412","0.0212875"
"com.apple.audio.SandboxHelper","1417","0.029925"
"com.apple.audio.SandboxHelper","1418","0.0280375"
"com.apple.audio.SandboxHelper","1419","0.0270875"
"com.apple.audio.SandboxHelper","1420","0.0228166"
"com.apple.audio.SandboxHelper","1524","0.058725"
"com.apple.audio.SandboxHelper","3013","0.0237375"
"com.apple.audio.SandboxHelper","3109","0.0266916"
"com.apple.cmio.registerassistantservice","389",
"com.apple.CodeSigningHelper","506",
"com.apple.ColorSyncXPCAgent","541",
"com.apple.ColorSyncXPCAgent","802",
"com.apple.ColorSyncXPCAgent","1048","0.0163791"
"com.apple.DictionaryServiceHelper","1395","0.0252833"
"com.apple.dock.extra","908","0.5150625"
"com.apple.DriverKit-AppleBCMWLAN","534",
"com.apple.DriverKit-IOUserDockChannelSerial","537",
"com.apple.FaceTime.FTConversationService","934","0.067775"
"com.apple.geod","544",
"com.apple.geod","564",
"com.apple.geod","788","0.3665833"
"com.apple.hiservices-xpcservice","723","3.0719208"
"com.apple.hiservices-xpcservice","1203",
"com.apple.hiservices-xpcservice","1345",
"com.apple.ifdreader","436",
"com.apple.MobileSoftwareUpdate.CleanupPreparePathService","562",
"com.apple.MobileSoftwareUpdate.UpdateBrainService","587",
"com.apple.Notes.WidgetExtension","801","0.042925"
"com.apple.NRD.UpdateBrainService","1242",
"com.apple.quicklook.ThumbnailsAgent","845","1.3499375"
"com.apple.sbd","701","0.032125"
"com.apple.siri.embeddedspeech","1035","1.80815"
"com.apple.SiriTTSService.TrialProxy","990","0.0987333"
"com.apple.SiriTTSService.TrialProxy","1411","0.0460041"
"com.apple.SiriTTSService.TrialProxy","1421","0.0440041"
"com.apple.SiriTTSService.TrialProxy","3154","0.0667375"
"com.apple.WebKit.GPU","3487","0.1856333"
"com.apple.WebKit.Networking","3110","0.151825"
"com.cisco.anyconnect.macos.acsockext","524",
"com.docker.vmnetd","479",
"com.sentinelone.network-monitoring","556",
"com.teamviewer.KeychainService","1039","0.0205458"
"CommCenter","724","0.2630958"
"commerce","916","0.0912833"
"configd","331",
"contactsd","828","0.6895333"
"contactsdonationagent","988","0.1078833"
"containermanagerd","553",
"containermanagerd","554",
"containermanagerd","576",
"containermanagerd","720","0.8658916"
"containermanagerd","3301",
"containermanagerd_system","418",
"contentlinkingd","3133","0.1376875"
"ContextService","999","0.0954166"
"ContextStoreAgent","814","4.5134833"
"contextstored","398",
"ContinuityCaptureAgent","704","0.1439958"
"ControlCenter","836","3.4614583"
"ControlStrip","728","0.5377791"
"coreaudiod","412",
"coreauthd","675",
"coreauthd","757","0.0804416"
"corebrightnessd","387",
"coreduetd","355",
"corekdld","686",
"CoreLocationAgent","746","0.2367791"
"coreservicesd","399",
"CoreServicesUIAgent","695","0.4057916"
"corespeechd","768","18.909"
"corespeechd_system","342",
"corespotlightd","906","3.2476916"
"coresymbolicationd","597",
"countryd","540",
"CrashReporterSupportHelper","1416",
"cryptexd","508",
"csnameddatad","403",
"csnameddatad","572",
"csnameddatad","703","0.0192333"
"csnameddatad","3299",
"ctkahp","881",
"ctkahp","922","0.0700458"
"ctkd","833","0.1067291"
"ctkd","841",
"CursorUIViewService","898","2.1013875"
"CVMServer","920",
"dasd","373",
"dataaccessd","3317","0.3128625"
"deleted","816","1.1942208"
"deleted_helper","977",
"diagnosticextensionsd","1388","0.1735416"
"diagnostics_agent","877","0.2063041"
"dirhelper","378",
"diskarbitrationd","351",
"DiskManagementSubscriber","3331",
"distnoted","375",
"distnoted","407",
"distnoted","429",
"distnoted","441",
"distnoted","525",
"distnoted","545",
"distnoted","560",
"distnoted","561",
"distnoted","589",
"distnoted","601",
"distnoted","635",
"distnoted","644",
"distnoted","682","1.2711"
"distnoted","998",
"distnoted","1136",
"distnoted","1241",
"distnoted","1326",
"distnoted","3283",
"distnoted","3323",
"dmd","742","0.2257708"
"Dock","835","3.5991583"
"donotdisturbd","760","0.4289333"
"duetexpertd","744","6.0970833"
"ecosystemanalyticsd","905",
"Electron","1426","4.02145"
"eligibilityd","427",
"EmojiFunctionRowIM_Extension","971","0.256325"
"endpointsecurityd","332",
"extensionkitservice","758","0.4218458"
"extensionkitservice","891","0.0228083"
"extensionkitservice","1346","0.6277625"
"extensionkitservice","1392","0.0482708"
"extensionkitservice","3926","0.0450125"
"extensionkitservice","4003","0.11565"
"fairplayd","1129",
"fairplaydeviceidentityd","1019",
"familycircled","818","0.1276583"
"feedbackd","3790","0.0387833"
"filecoordinationd","826",
"fileproviderd","815","0.3307041"
"financed","751","0.4020875"
"Finder","840","1.6906125"
"findmybeaconingd","523",
"findmydeviced","888",
"findmylocateagent","790","0.2827958"
"FindMyWidgetItems","766","0.0447791"
"FindMyWidgetPeople","765","0.0450041"
"followupd","809","0.0384375"
"fontd","795","2.2282541"
"fontworker","797","0.8502708"
"fseventsd","324",
"fudHelperAgent","2922","0.022075"
"gamecontrolleragentd","1163","0.1225166"
"gamecontrollerd","691",
"gamepolicyd","582",
"generativeexperiencesd","702","0.3071875"
"geodMachServiceBridge","1026","0.0204416"
"ghostty","1508","30.6708958"
"GMSSELFIngestor","4006","0.0230041"
"Google Chrome","1883","39.6266166"
"Google Chrome Helper","2924","5.777225"
"Google Chrome Helper","2980","0.3388208"
"Google Chrome Helper","3010","0.6875375"
"Google Chrome Helper","3127","0.1346333"
"Google Chrome Helper (GPU)","2923","30.6432333"
"Google Chrome Helper (Renderer)","2983","0.292075"
"Google Chrome Helper (Renderer)","3132","2.0557"
"Google Chrome Helper (Renderer)","3294","0.2768166"
"Google Chrome Helper (Renderer)","3303","3.9916166"
"Google Chrome Helper (Renderer)","3308","0.5885708"
"Google Chrome Helper (Renderer)","3562","4.5938041"
"Google Chrome Helper (Renderer)","3740","7.67025"
"Google Chrome Helper (Renderer)","3875","5.5998333"
"Google Chrome Helper (Renderer)","3880","1.4285125"
"Google Chrome Helper (Renderer)","3891","5.2440125"
"Google Chrome Helper (Renderer)","4228","0.4198708"
"Google Chrome Helper (Renderer)","4281","31.7582458"
"Google Chrome Helper (Renderer)","4285","3.9358375"
"Google Chrome Helper (Renderer)","4821","0.17185"
"Google Chrome Helper (Renderer)","5447","1.8285416"
"Google Chrome Helper (Renderer)","5455","0.079375"
"Google Chrome Helper (Renderer)","5463","0.0661666"
"GSSCred","654",
"heard","852","0.5074375"
"hidd","426",
"homed","784","1.2132458"
"homeenergyd","5321","0.4105708"
"HomeEnergyWidgetsExtension","777","0.04345"
"HomeWidget","774","0.0424958"
"icdd","864","0.0998875"
"icloudmailagent","712","0.0573041"
"iCloudNotificationAgent","789","0.2250041"
"iconservicesagent","783","0.7052291"
"iconservicesd","349",
"identityservicesd","708","0.9201"
"idleassetsd","889",
"IFTelemetrySELFIngestor","4005","0.0227"
"IFTranscriptSELFIngestor","4004","0.047875"
"imagent","873","0.756625"
"ImageThumbnailExtension","1504","0.1866916"
"IMDPersistenceAgent","925","0.1944833"
"imklaunchagent","860","0.0802333"
"inputanalyticsd","1159","0.1051"
"installcoordinationd","1007",
"installd","1005",
"installerauthagent","1176","0.0198791"
"intelligenceplatformd","3791","0.2591583"
"intelligentroutingd","882","0.1605083"
"InteractiveLegacyProfilesSubscriber","3326",
"IOMFB_bics_daemon","334",
"IOUserBluetoothSerialDriver","820",
"IOUserBluetoothSerialDriver","821",
"itunescloudd","924","0.3542041"
"JamfAgent","870","0.0109083"
"JamfDaemon","470",
"JamfProCommService","1009",
"KernelEventAgent","381",
"kernelmanagerd","350",
"keybagd","340",
"keyboardservicesd","1330","0.11165"
"knowledge-agent","697","0.4321333"
"KonaSynthesizer","1407","0.0448708"
"launchd","1",
"launchservicesd","363",
"LegacyProfilesSubscriber","3329",
"linkd","982","1.1951916"
"liquiddetectiond","435",
"localizationswitcherd","750","0.0566541"
"localspeechrecognition","969","0.5292791"
"locationd","369",
"lockdownmoded","1386","0.0971"
"logd","320",
"logd_helper","391",
"login","1527",
"logind","379",
"loginwindow","395","1.2007791"
"lsd","400",
"lsd","563",
"lsd","700","1.1622625"
"lsd","3298",
"Mac Mouse Fix Helper","855","2.5312"
"MacinTalkAUSP","1406","0.1071625"
"maild","954","0.2513208"
"ManagedConfigurationFilesSubscriber","3335",
"managedcorespotlightd","1344","0.2701166"
"ManagedSettingsAgent","756","0.0713625"
"ManagementTestSubscriber","3333",
"MauiAUSP","1410","0.0785416"
"mdbulkimport","974","2.1744958"
"mdbulkimport","3289",
"mdbulkimport","3981",
"mDNSResponder","420",
"mDNSResponderHelper","444",
"mds","348",
"mds_stores","581",
"mdworker","3277","0.2536916"
"mdworker","3282",
"mdworker_shared","5459","0.2388"
"mdworker_shared","5545","0.093425"
"mdworker_shared","5564","0.129475"
"mdworker_shared","5565","0.0884"
"mdwrite","3493","0.0228458"
"mediaanalysisd","912","1.878975"
"mediaremoteagent","985","0.0326208"
"mediaremoted","325",
"MENotificationAgent","1390","0.0571958"
"MessagesActionExtension","1396","0.0944541"
"MessagesBlastDoorService","3911","0.205525"
"metrickitd","3012","0.0773916"
"Microsoft Outlook","3086","20.1026208"
"Microsoft Word","2997","19.4012708"
"milod","931","0.1492833"
"mlhostd","3920","0.2217541"
"mobileactivationd","678",
"mobileassetd","411",
"mobiletimerd","745","0.1352625"
"ModelCatalogAgent","1143","0.232425"
"modelcatalogd","536",
"modelmanagerd","535",
"MTLAssetUpgraderD","1389","1.1783083"
"MTLCompilerService","698",
"MTLCompilerService","4784","0.1408583"
"naturallanguaged","1322","0.0633125"
"ndoagent","711","0.0458916"
"neagent","715","0.4133291"
"nearbyd","810",
"nehelper","419",
"nesessionmanager","370",
"netbiosd","722",
"networkserviceproxy","753","0.6117625"
"nfcd","1216",
"NFStorageServer","1240",
"NotificationCenter","772","19.2751541"
"notifyd","385",
"NowPlayingTouchUI","955","0.3939375"
"NRDUpdated","1180",
"nsattributedstringagent","1342",
"nsattributedstringagent","1359","0.5327"
"nsurlsessiond","434",
"nsurlsessiond","727","0.5008958"
"oahd","897",
"On-Demand Scan","851","0.0888166"
"online-auth-agent","3260",
"opendirectoryd","360",
"osanalyticshelper","1003",
"OSDUIHelper","1355","0.3555708"
"ospredictiond","3952",
"PackageThumbnailExtension","1349","0.2254375"
"PAH_Extension","899","0.3667416"
"parentalcontrolsd","929",
"parsecd","909","0.8307916"
"PasscodeSettingsSubscriber","3330",
"PasswordBreachAgent","3910","0.1299083"
"pboard","699","0.428975"
"pbs","883","0.086075"
"PeopleWidget_macOSExtension","764","0.0533"
"PerfPowerServices","377",
"PerfPowerTelemetryClientRegistrationService","417",
"photoanalysisd","4134","0.3208166"
"photolibraryd","4135","0.6539958"
"PhotosReliveWidget","811","0.0206041"
"pkd","719","0.5288208"
"pkd","3297",
"pkd","3982",
"PlugInLibraryService","480",
"PlugInLibraryService","1499","0.0165333"
"PlugInLibraryService","3518","0.0179791"
"PodcastsWidget","799","0.0537916"
"postgres","469",
"postgres","599",
"postgres","615",
"postgres","616",
"postgres","629",
"postgres","630",
"postgres","631",
"powerd","333",
"powerexperienced","401",
"PowerSubscriber","3334",
"PowerUIAgent","409",
"promotedcontentd","1012","0.2678541"
"pwsh","3455","483.874837"
"QuickLookSatellite","919","0.1857791"
"QuickLookUIService","844","0.1382333"
"QuickLookUIService","3515","0.095375"
"rapportd","721","0.4179416"
"RemindersWidgetExtension","807","0.0351541"
"remoted","338",
"remotemanagementd","3316",
"replayd","884","0.9335333"
"replicatord","749","0.3135416"
"ReportCrash","1168","0.0258666"
"revisiond","380",
"routined","730","0.6687375"
"rtcreportingd","688",
"runningboardd","396",
"s1_browser_host","5456","0.0037875"
"SAExtensionOrchestrator","4002","0.3160666"
"SafariBookmarksSyncAgent","3318","0.231575"
"SafariLaunchAgent","3004","0.1978583"
"SafariLinkExtension","1394","0.0941333"
"SafariWidgetExtension","803","0.0761958"
"sandboxd","386",
"ScopedBookmarkAgent","1433","0.1941958"
"ScreenSharingSubscriber","3327",
"ScreenTimeAgent","773","0.1936541"
"ScreenTimeWidgetExtension","762","0.0746625"
"searchpartyd","558",
"searchpartyuseragent","953","0.7794416"
"secd","574",
"secd","747","1.018375"
"secd","3300",
"secinitd","437",
"secinitd","546",
"secinitd","566",
"secinitd","733","0.7057083"
"securityd","366",
"securityd_system","516",
"SecuritySubscriber","3322",
"seld","692",
"SentinelAgent","866","0.4444708"
"sentineld","478",
"sentineld_guard","585",
"sentineld_helper","570",
"SentinelOne Extensions","600",
"sentinel_helper","876","0.2372416"
"seserviced","3888","0.0779041"
"SetStoreUpdateService","1385","0.1444541"
"sharedfilelistd","819","0.2424166"
"sharingd","763","0.6126666"
"ShortcutsWidgetExtension","806","0.0203208"
"Siri","862","4.3384791"
"siriactionsd","736","0.5374375"
"SiriAUSP","1415","0.0265458"
"siriinferenced","780","2.2771875"
"siriknowledged","781","1.6996333"
"SiriNCService","3017","1.4023208"
"SiriSuggestionsBookkeepingService","1217","0.237375"
"sirittsd","779","0.6900125"
"smd","321",
"sociallayerd","847","0.1316"
"socketfilterfw","446",
"softwareupdated","341",
"softwareupdated","549",
"SoftwareUpdateNotificationManager","984","0.308925"
"SoftwareUpdateSubscriber","3332",
"spindump","604",
"spindump_agent","754","0.02245"
"Spotify","917","30.7034625"
"Spotify Helper","938","0.03195"
"Spotify Helper","943","2.0407041"
"Spotify Helper","946","0.1520541"
"Spotify Helper (GPU)","942","8.8146875"
"Spotify Helper (Renderer)","967","29.9745"
"Spotlight","900","17.3421833"
"spotlightknowledged","1286","4.733775"
"spotlightknowledged","3494","0.0947"
"StatusKitAgent","817","0.2454666"
"StocksKitService","1400","0.248025"
"StocksWidget","813","0.0564333"
"storagekitd","515",
"storekitagent","1427","0.4042583"
"SubmitDiagInfo","605",
"suggestd","848","1.1707625"
"suhelperd","559",
"swcd","980","1.120425"
"swtransparencyd","989","0.0684125"
"symptomsd","432",
"symptomsd-diag","679",
"syncdefaultsd","752","0.3673041"
"sysextd","449",
"syslogd","356",
"sysmond","689",
"syspolicyd","445",
"systemsoundserverd","613",
"systemstats","328",
"systemstats","903",
"systemstatusd","423",
"SystemUIServer","838","0.3597916"
"system_installd","1002",
"talagentd","718","0.3795"
"tccd","393",
"tccd","734","1.6083166"
"TeamViewerHost","858","0.6034916"
"TeamViewer_Desktop","904","3.766425"
"TeamViewer_Desktop_Proxy","865","0.0122"
"TeamViewer_Service","477",
"TextInputMenuAgent","878","0.3252708"
"TextInputSwitcher","892","0.3799708"
"TextThumbnailExtension","2996","0.2444833"
"thermalmonitord","359",
"ThunderboltAccessoryUpdaterService","1093",
"timed","364",
"tipsd","3138","0.4104791"
"TipsWidgetExtension","808","0.021025"
"TouchBarServer","533",
"transparencyd","837","0.4694958"
"triald","710","2.0972375"
"triald_system","1405",
"trustd","402",
"trustd","550",
"trustd","573",
"trustd","748","3.5057916"
"trustd","3273",
"trustd","3302",
"trustd","4010",
"trustdFileHelper","404",
"UARPUpdaterServiceAFU","996",
"UARPUpdaterServiceDFU","992",
"UARPUpdaterServiceDisplay","993",
"UARPUpdaterServiceHID","994",
"UARPUpdaterServiceLegacyAudio","997",
"UARPUpdaterServiceUSBPD","995",
"UIKitSystem","792","0.2865125"
"universalaccessd","696","0.2709208"
"UsageTrackingAgent","739","0.2459166"
"usbd","448",
"usbmuxd","365",
"useractivityd","907","0.2571791"
"UserEventAgent","322",
"UserEventAgent","690","0.82225"
"usermanagerd","382",
"usernoted","729","0.8644708"
"UserNotificationCenter","839","0.442975"
"usernotificationsd","705","0.2307041"
"UVCAssistant","530",
"ViewBridgeAuxiliary","785","1.1598625"
"voicebankingd","1422","0.172675"
"vpnagentd","476",
"VTDecoderXPCService","911","0.1052708"
"VTDecoderXPCService","4795","0.2554083"
"VTEncoderXPCService","3011","0.1040666"
"VTEncoderXPCService","4788","0.0718875"
"WallpaperAgent","846","0.2824583"
"wallpaperexportd","890",
"WallpaperVideoExtension","893","1.689475"
"WardaSynthesizer_arm64","1413","0.0351583"
"WardaSynthesizer_x86_64","1414","0.2791375"
"watchdogd","344",
"weatherd","1318","0.2178791"
"WeatherWidget","771","0.7269041"
"webinspectord","1368","0.2525958"
"webprivacyd","3106","0.0709125"
"WiFiAgent","887","0.3076166"
"wifianalyticsd","619",
"WiFiCloudAssetsXPCService","578",
"WiFiCloudAssetsXPCService","960","0.0248541"
"wifip2pd","575",
"wifivelocityd","3008",
"WindowManager","714","5.068075"
"WindowServer","392",
"WirelessRadioManagerd","517",
"WorldClockWidget","759","0.2064041"
"writeconfig","669",
"xpcroleaccountd","588",
"XProtectBridgeService","1160",
"XProtectPluginService","1360",
"XProtectPluginService","1399","0.5547041"
"XprotectService","3492","0.0372083"
"zsh","1532","0.1742833"
"zsh","2482","0.1448375"
"zsh","2483","0.1325958"
